rental_key,rental_id,rental_duration_days,amount_paid,full_date,month_name,month_num,quarter,year,first_name,last_name,city,country,title,category,rating,rental_rate,store_id,staff_first,staff_last
48,1678,3,4.99,2005-06-16,June     ,6,2,2005,Albert,Crouse,Bamenda,Cameroon,Harry Idaho,Drama,PG-13,4.99,2,Mike,Hillyer
49,1780,2,4.99,2005-06-16,June     ,6,2,2005,Albert,Crouse,Bamenda,Cameroon,Apache Divine,Family,NC-17,4.99,1,Jon,Stephens
50,3331,4,4.99,2005-06-21,June     ,6,2,2005,Albert,Crouse,Bamenda,Cameroon,Opus Ice,Foreign,R,4.99,2,Jon,Stephens
51,1359,2,2.99,2005-06-15,June     ,6,2,2005,Jonathan,Scarborough,Pachuca de Soto,Mexico,Pond Seattle,Animation,PG-13,2.99,1,Mike,Hillyer
52,1928,9,7.99,2005-06-17,June     ,6,2,2005,Jonathan,Scarborough,Pachuca de Soto,Mexico,Sagebrush Clueless,Documentary,G,2.99,2,Mike,Hillyer
53,3233,7,6.99,2005-06-21,June     ,6,2,2005,Jonathan,Scarborough,Pachuca de Soto,Mexico,Searchers Wait,Comedy,NC-17,2.99,1,Jon,Stephens
54,1491,4,0.99,2005-06-15,June     ,6,2,2005,Justin,Ngo,Santo Andr,Brazil,Craft Outfield,Drama,NC-17,0.99,1,Mike,Hillyer
55,2275,6,4.99,2005-06-18,June     ,6,2,2005,Justin,Ngo,Santo Andr,Brazil,National Story,Documentary,NC-17,2.99,1,Jon,Stephens
56,2769,7,6.99,2005-06-19,June     ,6,2,2005,Justin,Ngo,Santo Andr,Brazil,Easy Gladiator,Action,G,4.99,1,Jon,Stephens
57,3139,2,2.99,2005-06-20,June     ,6,2,2005,Justin,Ngo,Santo Andr,Brazil,Santa Paris,Children,PG,2.99,2,Mike,Hillyer
58,1488,0,0.99,2005-06-15,June     ,6,2,2005,Terry,Grissom,Matsue,Japan,Donnie Alley,Animation,NC-17,0.99,1,Mike,Hillyer
59,1612,2,2.99,2005-06-16,June     ,6,2,2005,Terry,Grissom,Matsue,Japan,Patriot Roman,Action,PG,2.99,2,Mike,Hillyer
60,1410,5,0.99,2005-06-15,June     ,6,2,2005,Gerald,Fultz,Satna,India,Congeniality Quest,Sports,PG-13,0.99,1,Mike,Hillyer
61,2405,3,2.99,2005-06-18,June     ,6,2,2005,Gerald,Fultz,Satna,India,Ship Wonderland,Documentary,R,2.99,1,Mike,Hillyer
62,2433,4,4.99,2005-06-18,June     ,6,2,2005,Gerald,Fultz,Satna,India,Dangerous Uptown,Foreign,PG,4.99,1,Jon,Stephens
63,1246,5,5.99,2005-06-15,June     ,6,2,2005,Keith,Rico,Bratislava,Slovakia,Breakfast Goldfinger,New,G,4.99,2,Mike,Hillyer
64,1788,6,1.99,2005-06-16,June     ,6,2,2005,Keith,Rico,Bratislava,Slovakia,Spirited Casualties,Sci-Fi,PG-13,0.99,1,Mike,Hillyer
65,1971,8,1.99,2005-06-17,June     ,6,2,2005,Keith,Rico,Bratislava,Slovakia,Notorious Reunion,Documentary,NC-17,0.99,2,Jon,Stephens
66,2153,6,6.99,2005-06-17,June     ,6,2,2005,Keith,Rico,Bratislava,Slovakia,Loser Hustler,Sports,PG,4.99,2,Jon,Stephens
67,1455,3,2.99,2005-06-15,June     ,6,2,2005,Samuel,Marlow,Ranchi,India,Jade Bunch,Sports,NC-17,2.99,2,Jon,Stephens
68,1908,1,0.99,2005-06-17,June     ,6,2,2005,Samuel,Marlow,Ranchi,India,Borrowers Bedazzled,Animation,G,0.99,1,Mike,Hillyer
69,2114,5,5.99,2005-06-17,June     ,6,2,2005,Samuel,Marlow,Ranchi,India,Searchers Wait,Comedy,NC-17,2.99,1,Mike,Hillyer
70,2721,2,2.99,2005-06-19,June     ,6,2,2005,Samuel,Marlow,Ranchi,India,Spinal Rocky,Family,PG-13,2.99,1,Jon,Stephens
71,2749,6,2.99,2005-06-19,June     ,6,2,2005,Samuel,Marlow,Ranchi,India,Frida Slipper,Foreign,R,2.99,1,Jon,Stephens
72,3245,4,2.99,2005-06-21,June     ,6,2,2005,Samuel,Marlow,Ranchi,India,Ice Crossing,Games,R,2.99,1,Jon,Stephens
73,1329,2,4.99,2005-06-15,June     ,6,2,2005,Willie,Markham,Almirante Brown,Argentina,Driving Polish,Music,NC-17,4.99,1,Jon,Stephens
74,1770,7,1.99,2005-06-16,June     ,6,2,2005,Willie,Markham,Almirante Brown,Argentina,Goldmine Tycoon,Sci-Fi,R,0.99,1,Jon,Stephens
75,2401,0,0.99,2005-06-18,June     ,6,2,2005,Willie,Markham,Almirante Brown,Argentina,Alone Trip,Music,R,0.99,2,Jon,Stephens
76,2736,1,4.99,2005-06-19,June     ,6,2,2005,Willie,Markham,Almirante Brown,Argentina,Wonderland Christmas,Sci-Fi,PG,4.99,1,Mike,Hillyer
77,1492,1,0.99,2005-06-15,June     ,6,2,2005,Ralph,Madrigal,Arecibo,Puerto Rico,Tracy Cider,Animation,G,0.99,1,Mike,Hillyer
78,2402,8,6.99,2005-06-18,June     ,6,2,2005,Ralph,Madrigal,Arecibo,Puerto Rico,Network Peak,Family,PG-13,2.99,2,Mike,Hillyer
79,2541,4,3.99,2005-06-19,June     ,6,2,2005,Ralph,Madrigal,Arecibo,Puerto Rico,Angels Life,New,G,2.99,2,Mike,Hillyer
80,2780,9,6.99,2005-06-19,June     ,6,2,2005,Ralph,Madrigal,Arecibo,Puerto Rico,Forrester Comancheros,Animation,NC-17,4.99,2,Mike,Hillyer
81,2353,1,4.99,2005-06-18,June     ,6,2,2005,Lawrence,Lawton,Yaound,Cameroon,Quills Bull,Documentary,R,4.99,1,Mike,Hillyer
82,2558,5,1.99,2005-06-19,June     ,6,2,2005,Lawrence,Lawton,Yaound,Cameroon,Orange Grapes,Foreign,PG-13,0.99,2,Mike,Hillyer
83,2851,2,2.99,2005-06-19,June     ,6,2,2005,Lawrence,Lawton,Yaound,Cameroon,Invasion Cyclone,Children,PG,2.99,1,Mike,Hillyer
84,3303,5,2.99,2005-06-21,June     ,6,2,2005,Lawrence,Lawton,Yaound,Cameroon,Fury Murder,Children,PG-13,0.99,1,Jon,Stephens
85,1429,2,2.99,2005-06-15,June     ,6,2,2005,Nicholas,Barfield,Belm,Brazil,Tomorrow Hustler,Classics,R,2.99,1,Mike,Hillyer
86,1529,6,2.99,2005-06-16,June     ,6,2,2005,Nicholas,Barfield,Belm,Brazil,Gone Trouble,Drama,R,2.99,1,Jon,Stephens
87,1615,9,2.99,2005-06-16,June     ,6,2,2005,Nicholas,Barfield,Belm,Brazil,Story Side,Action,R,0.99,2,Mike,Hillyer
88,3197,2,2.99,2005-06-21,June     ,6,2,2005,Nicholas,Barfield,Belm,Brazil,Halloween Nuts,Documentary,PG-13,2.99,1,Jon,Stephens
89,3393,4,2.99,2005-06-21,June     ,6,2,2005,Nicholas,Barfield,Belm,Brazil,Giant Troopers,Children,R,2.99,2,Jon,Stephens
90,1426,3,4.99,2005-06-15,June     ,6,2,2005,Roy,Whiting,Nyeri,Kenya,Waterfront Deliverance,Action,G,4.99,2,Jon,Stephens
91,1569,2,4.99,2005-06-16,June     ,6,2,2005,Roy,Whiting,Nyeri,Kenya,Streetcar Intentions,Horror,R,4.99,2,Jon,Stephens
92,1847,3,4.99,2005-06-17,June     ,6,2,2005,Roy,Whiting,Nyeri,Kenya,Dying Maker,Comedy,PG,4.99,1,Mike,Hillyer
93,2540,1,4.99,2005-06-19,June     ,6,2,2005,Roy,Whiting,Nyeri,Kenya,Velvet Terminator,Comedy,R,4.99,1,Jon,Stephens
94,3281,3,2.99,2005-06-21,June     ,6,2,2005,Roy,Whiting,Nyeri,Kenya,Sweet Brotherhood,Travel,R,2.99,2,Mike,Hillyer
95,1722,2,2.99,2005-06-16,June     ,6,2,2005,Benjamin,Varney,Guadalajara,Mexico,Instinct Airport,Sports,PG,2.99,2,Jon,Stephens
96,2442,3,2.99,2005-06-18,June     ,6,2,2005,Benjamin,Varney,Guadalajara,Mexico,Telemark Heartbreakers,Animation,PG-13,2.99,2,Mike,Hillyer
97,2606,1,4.99,2005-06-19,June     ,6,2,2005,Benjamin,Varney,Guadalajara,Mexico,Tourist Pelican,Sports,PG-13,4.99,1,Jon,Stephens
98,2857,5,4.99,2005-06-19,June     ,6,2,2005,Benjamin,Varney,Guadalajara,Mexico,October Submarine,Classics,PG-13,4.99,2,Jon,Stephens
99,2962,5,3.99,2005-06-20,June     ,6,2,2005,Benjamin,Varney,Guadalajara,Mexico,Pajama Jawbreaker,Classics,R,0.99,1,Mike,Hillyer
100,1303,5,1.99,2005-06-15,June     ,6,2,2005,Bruce,Schwarz,Okinawa,Japan,Hours Rage,New,NC-17,0.99,1,Jon,Stephens
101,1578,7,6.99,2005-06-16,June     ,6,2,2005,Bruce,Schwarz,Okinawa,Japan,Roses Treasure,Sports,PG-13,4.99,2,Mike,Hillyer
102,1983,6,4.99,2005-06-17,June     ,6,2,2005,Bruce,Schwarz,Okinawa,Japan,Home Pity,Music,R,4.99,2,Mike,Hillyer
103,2525,5,2.99,2005-06-19,June     ,6,2,2005,Bruce,Schwarz,Okinawa,Japan,Escape Metropolis,Travel,R,2.99,2,Jon,Stephens
104,3156,1,0.99,2005-06-20,June     ,6,2,2005,Bruce,Schwarz,Okinawa,Japan,Jedi Beneath,Family,PG,0.99,2,Jon,Stephens
105,1401,5,1.99,2005-06-15,June     ,6,2,2005,Brandon,Huey,Balikesir,Turkey,Tights Dawn,Sports,R,0.99,1,Jon,Stephens
106,2214,0,0.99,2005-06-18,June     ,6,2,2005,Brandon,Huey,Balikesir,Turkey,Lose Inch,Foreign,R,0.99,1,Jon,Stephens
107,3078,4,0.99,2005-06-20,June     ,6,2,2005,Adam,Gooch,Adoni,India,Siege Madre,Family,R,0.99,1,Mike,Hillyer
108,1186,1,0.99,2005-06-15,June     ,6,2,2005,Harry,Arce,Najafabad,Iran,Frost Head,Classics,PG,0.99,2,Mike,Hillyer
109,1513,7,9.99,2005-06-15,June     ,6,2,2005,Harry,Arce,Najafabad,Iran,Dude Blindness,Sports,G,4.99,2,Mike,Hillyer
110,2531,3,4.99,2005-06-19,June     ,6,2,2005,Harry,Arce,Najafabad,Iran,Coma Head,Travel,NC-17,4.99,2,Jon,Stephens
111,2694,5,4.99,2005-06-19,June     ,6,2,2005,Harry,Arce,Najafabad,Iran,Boiled Dares,Travel,PG,4.99,1,Mike,Hillyer
112,2744,2,4.99,2005-06-19,June     ,6,2,2005,Harry,Arce,Najafabad,Iran,Wonderland Christmas,Sci-Fi,PG,4.99,1,Jon,Stephens
113,3275,8,4.99,2005-06-21,June     ,6,2,2005,Harry,Arce,Najafabad,Iran,Kwai Homeward,Drama,PG-13,0.99,1,Jon,Stephens
114,1224,2,0.99,2005-06-15,June     ,6,2,2005,Fred,Wheat,Jurez,Mexico,Gables Metropolis,Family,PG,0.99,1,Jon,Stephens
115,1190,8,6.99,2005-06-15,June     ,6,2,2005,Wayne,Truong,Gulbarga,India,Massacre Usual,Games,R,4.99,1,Jon,Stephens
116,1212,2,2.99,2005-06-15,June     ,6,2,2005,Billy,Poulin,Cabuyao,Philippines,Shock Cabin,Foreign,PG-13,2.99,1,Mike,Hillyer
117,1218,6,1.99,2005-06-15,June     ,6,2,2005,Billy,Poulin,Cabuyao,Philippines,Banger Pinocchio,Music,R,0.99,1,Jon,Stephens
118,1573,9,6.99,2005-06-16,June     ,6,2,2005,Billy,Poulin,Cabuyao,Philippines,World Leathernecks,Horror,PG-13,0.99,2,Mike,Hillyer
119,1675,7,5.99,2005-06-16,June     ,6,2,2005,Billy,Poulin,Cabuyao,Philippines,Peak Forever,Sports,PG,4.99,2,Jon,Stephens
120,2837,0,0.99,2005-06-19,June     ,6,2,2005,Billy,Poulin,Cabuyao,Philippines,Bound Cheaper,Classics,PG,0.99,2,Mike,Hillyer
121,3176,4,3.99,2005-06-20,June     ,6,2,2005,Billy,Poulin,Cabuyao,Philippines,Hope Tootsie,Classics,NC-17,2.99,2,Mike,Hillyer
122,3396,1,0.99,2005-06-21,June     ,6,2,2005,Billy,Poulin,Cabuyao,Philippines,Mourning Purple,Sci-Fi,PG,0.99,1,Mike,Hillyer
123,2315,4,2.99,2005-06-18,June     ,6,2,2005,Steve,Mackenzie,Probolinggo,Indonesia,Murder Antitrust,Children,PG,2.99,1,Mike,Hillyer
124,2959,6,4.99,2005-06-20,June     ,6,2,2005,Steve,Mackenzie,Probolinggo,Indonesia,Trip Newton,Action,PG-13,4.99,2,Mike,Hillyer
125,3283,5,3.99,2005-06-21,June     ,6,2,2005,Steve,Mackenzie,Probolinggo,Indonesia,Suspects Quills,Action,PG,2.99,2,Jon,Stephens
126,1472,9,6.99,2005-06-15,June     ,6,2,2005,Louis,Leone,Tanauan,Philippines,Unbreakable Karate,New,G,0.99,2,Jon,Stephens
127,3161,0,2.99,2005-06-20,June     ,6,2,2005,Louis,Leone,Tanauan,Philippines,Exorcist Sting,Sports,G,2.99,1,Jon,Stephens
128,1548,7,1.99,2005-06-16,June     ,6,2,2005,Jeremy,Hurtado,Vitria de Santo Anto,Brazil,Impact Aladdin,Music,PG-13,0.99,1,Jon,Stephens
129,2046,7,1.99,2005-06-17,June     ,6,2,2005,Jeremy,Hurtado,Vitria de Santo Anto,Brazil,Crooked Frogmen,Children,PG-13,0.99,2,Mike,Hillyer
130,2487,4,4.99,2005-06-18,June     ,6,2,2005,Jeremy,Hurtado,Vitria de Santo Anto,Brazil,Sleepless Monsoon,Animation,G,4.99,2,Jon,Stephens
131,2641,3,2.99,2005-06-19,June     ,6,2,2005,Jeremy,Hurtado,Vitria de Santo Anto,Brazil,Balloon Homeward,Music,NC-17,2.99,2,Mike,Hillyer
132,1404,1,2.99,2005-06-15,June     ,6,2,2005,Aaron,Selby,Mwene-Ditu,"Congo, The Democratic Republic of the",Muscle Bright,Travel,G,2.99,2,Mike,Hillyer
133,1499,6,5.99,2005-06-15,June     ,6,2,2005,Aaron,Selby,Mwene-Ditu,"Congo, The Democratic Republic of the",Arachnophobia Rollercoaster,Horror,PG-13,2.99,2,Jon,Stephens
134,2236,4,4.99,2005-06-18,June     ,6,2,2005,Aaron,Selby,Mwene-Ditu,"Congo, The Democratic Republic of the",Sweden Shining,Comedy,PG,4.99,2,Mike,Hillyer
135,1208,2,0.99,2005-06-15,June     ,6,2,2005,Randy,Gaither,Kurgan,Russian Federation,Coast Rainbow,Documentary,PG,0.99,2,Mike,Hillyer
136,2779,4,0.99,2005-06-19,June     ,6,2,2005,Randy,Gaither,Kurgan,Russian Federation,Detective Vision,Classics,PG-13,0.99,2,Jon,Stephens
137,2556,4,3.99,2005-06-19,June     ,6,2,2005,Howard,Fortner,Kermanshah,Iran,Angels Life,New,G,2.99,1,Mike,Hillyer
138,3080,3,1.99,2005-06-20,June     ,6,2,2005,Howard,Fortner,Kermanshah,Iran,Anaconda Confessions,Animation,R,0.99,2,Mike,Hillyer
139,3086,5,0.99,2005-06-20,June     ,6,2,2005,Howard,Fortner,Kermanshah,Iran,Westward Seabiscuit,Classics,NC-17,0.99,2,Mike,Hillyer
140,3136,2,2.99,2005-06-20,June     ,6,2,2005,Howard,Fortner,Kermanshah,Iran,Robbers Joon,Children,PG-13,2.99,2,Jon,Stephens
141,3443,8,4.99,2005-06-21,June     ,6,2,2005,Howard,Fortner,Kermanshah,Iran,Gilmore Boiled,Classics,R,0.99,1,Mike,Hillyer
142,1623,0,4.99,2005-06-16,June     ,6,2,2005,Eugene,Culpepper,Shenzhen,China,Wizard Coldblooded,Music,PG,4.99,1,Jon,Stephens
143,1662,7,5.99,2005-06-16,June     ,6,2,2005,Eugene,Culpepper,Shenzhen,China,Secret Groundhog,Documentary,PG,4.99,2,Mike,Hillyer
144,2134,8,7.99,2005-06-17,June     ,6,2,2005,Eugene,Culpepper,Shenzhen,China,Gorgeous Bingo,Children,R,2.99,1,Jon,Stephens
145,2713,1,4.99,2005-06-19,June     ,6,2,2005,Eugene,Culpepper,Shenzhen,China,Super Wyoming,Family,PG,4.99,1,Mike,Hillyer
146,1383,9,8.99,2005-06-15,June     ,6,2,2005,Carlos,Coughlin,Bhavnagar,India,Enemy Odds,Music,NC-17,4.99,1,Jon,Stephens
147,2313,8,5.99,2005-06-18,June     ,6,2,2005,Carlos,Coughlin,Bhavnagar,India,Pollock Deliverance,Foreign,PG,2.99,1,Jon,Stephens
148,2926,5,2.99,2005-06-20,June     ,6,2,2005,Carlos,Coughlin,Bhavnagar,India,Divide Monster,Sci-Fi,PG-13,2.99,1,Mike,Hillyer
149,1868,8,3.99,2005-06-17,June     ,6,2,2005,Russell,Brinson,Tychy,Poland,Lock Rear,Travel,R,2.99,2,Mike,Hillyer
150,1984,5,2.99,2005-06-17,June     ,6,2,2005,Russell,Brinson,Tychy,Poland,Rugrats Shakespeare,Action,PG-13,0.99,2,Jon,Stephens
151,2018,9,3.99,2005-06-17,June     ,6,2,2005,Russell,Brinson,Tychy,Poland,Ending Crowds,New,NC-17,0.99,1,Jon,Stephens
152,2440,3,2.99,2005-06-18,June     ,6,2,2005,Russell,Brinson,Tychy,Poland,Northwest Polish,Sports,PG,2.99,1,Mike,Hillyer
153,2464,1,4.99,2005-06-18,June     ,6,2,2005,Russell,Brinson,Tychy,Poland,Bubble Grosse,Sports,R,4.99,2,Mike,Hillyer
154,2998,3,1.99,2005-06-20,June     ,6,2,2005,Russell,Brinson,Tychy,Poland,English Bulworth,Sci-Fi,PG-13,0.99,1,Jon,Stephens
155,3099,6,1.99,2005-06-20,June     ,6,2,2005,Russell,Brinson,Tychy,Poland,Sorority Queen,Foreign,NC-17,0.99,2,Jon,Stephens
156,3260,1,4.99,2005-06-21,June     ,6,2,2005,Russell,Brinson,Tychy,Poland,Show Lord,Documentary,PG-13,4.99,2,Mike,Hillyer
157,1402,9,3.99,2005-06-15,June     ,6,2,2005,Bobby,Boudreau,South Hill,Anguilla,Holy Tadpole,Classics,R,0.99,2,Mike,Hillyer
158,1878,4,1.99,2005-06-17,June     ,6,2,2005,Bobby,Boudreau,South Hill,Anguilla,Ridgemont Submarine,New,PG-13,0.99,2,Mike,Hillyer
159,2410,1,2.99,2005-06-18,June     ,6,2,2005,Bobby,Boudreau,South Hill,Anguilla,Bear Graceland,Children,R,2.99,1,Jon,Stephens
160,2418,7,4.99,2005-06-18,June     ,6,2,2005,Bobby,Boudreau,South Hill,Anguilla,Mulan Moon,Comedy,G,0.99,2,Mike,Hillyer
161,3425,6,2.99,2005-06-21,June     ,6,2,2005,Bobby,Boudreau,South Hill,Anguilla,Wrong Behavior,Children,PG-13,2.99,1,Jon,Stephens
162,2389,2,0.99,2005-06-18,June     ,6,2,2005,Victor,Barkley,Manchester,United States,Club Graffiti,Animation,PG-13,0.99,1,Mike,Hillyer
163,2468,4,4.99,2005-06-18,June     ,6,2,2005,Victor,Barkley,Manchester,United States,Hanover Galaxy,Music,NC-17,4.99,2,Mike,Hillyer
164,2489,3,1.99,2005-06-18,June     ,6,2,2005,Victor,Barkley,Manchester,United States,Sweethearts Suspects,Children,G,0.99,2,Jon,Stephens
165,2514,4,2.99,2005-06-18,June     ,6,2,2005,Victor,Barkley,Manchester,United States,Mask Peach,New,NC-17,2.99,1,Mike,Hillyer
166,3125,0,4.99,2005-06-20,June     ,6,2,2005,Victor,Barkley,Manchester,United States,Requiem Tycoon,Classics,R,4.99,1,Mike,Hillyer
167,1831,9,7.99,2005-06-16,June     ,6,2,2005,Martin,Bales,Namibe,Angola,Metropolis Coma,Sci-Fi,PG-13,2.99,2,Jon,Stephens
168,2228,4,2.99,2005-06-18,June     ,6,2,2005,Martin,Bales,Namibe,Angola,Butterfly Chocolat,New,G,0.99,2,Mike,Hillyer
169,2252,3,2.99,2005-06-18,June     ,6,2,2005,Martin,Bales,Namibe,Angola,Horn Working,Animation,PG,2.99,1,Mike,Hillyer
170,2318,4,2.99,2005-06-18,June     ,6,2,2005,Martin,Bales,Namibe,Angola,Labyrinth League,Children,PG-13,2.99,2,Mike,Hillyer
